gookook'oo+NA	gookookohoo
2+gookook'oo+NA+Con+1+Pl+Prt+Pl	gigookookohooenynaanibani1ag

2+gookook'oo+NA+Con+2+Pl+Prt+4	gigookookohooenywaabaniin

2+gookook'oo+NA+Con+2+Pl+Prt+Loc	gigookookohooenywaabaniing

2+gookook'oo+NA+Con+2+Pl+Prt+Pl	gigookookohooenywaabani1ag

2+gookook'oo+NA+Dim+1+Pl+Prt+4	gigookookohooensnaanibaniin

2+gookook'oo+NA+Dim+1+Pl+Prt+Loc	gigookookohooensnaanibaniing

2+gookook'oo+NA+Dim+1+Pl+Prt+Pl	gigookookohooensnaanibani1ag

2+gookook'oo+NA+Dim+2+Pl+Prt+4	gigookookohooenswaabaniin

2+gookook'oo+NA+Dim+2+Pl+Prt+Loc	gigookookohooenswaabaniing

2+gookook'oo+NA+Dim+2+Pl+Prt+Pl	gigookookohooenswaabani1ag

3+gookook'oo+NA+Con+2+Pl+Prt+4	ogookookohooenywaabaniin

3+gookook'oo+NA+Con+2+Pl+Prt+Loc	ogookookohooenywaabaniing

3+gookook'oo+NA+Con+3+4+Prt+4	ogookookohooenyniwibaniin
3+gookook'oo+NA+Con+3+4+Prt+4	ogookookohooenyniibaniin

3+gookook'oo+NA+Con+3+4+Prt+Loc	ogookookohooenyniwibaniing
3+gookook'oo+NA+Con+3+4+Prt+Loc	ogookookohooenyniibaniing

3+gookook'oo+NA+Dim+2+Pl+Prt+4	ogookookohooenswaabaniin

3+gookook'oo+NA+Dim+2+Pl+Prt+Loc	ogookookohooenswaabaniing

3+gookook'oo+NA+Dim+3+4+Prt+4	ogookookohooensniwibaniin
3+gookook'oo+NA+Dim+3+4+Prt+4	ogookookohooensniibaniin

3+gookook'oo+NA+Dim+3+4+Prt+Loc	ogookookohooensniwibaniing
3+gookook'oo+NA+Dim+3+4+Prt+Loc	ogookookohooensniibaniing

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt	nigookookohoomishnaaniban
1+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt	nigookookohoomishnaaniba

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Voc+Pl	nigookookohoomishnaany1dig

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt	gigookookohoomishnaaniban
2+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt	gigookookohoomishnaaniba

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Voc+Pl	gigookookohoomishnaany1dig

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt	gigookookohoomishwaaban
2+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt	gigookookohoomishwaaba

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Voc+Pl	gigookookohoomishwaadig

3+gookook'oo+NA+ThmPos+Pej+3+4+Prt	ogookookohoomishniwiban
3+gookook'oo+NA+ThmPos+Pej+3+4+Prt	ogookookohoomishniwiba
3+gookook'oo+NA+ThmPos+Pej+3+4+Prt	ogookookohoomishniiban
3+gookook'oo+NA+ThmPos+Pej+3+4+Prt	ogookookohoomishniiba

1+gookook'oo+NA+ThmPos+Pej+1+Pl+4	nigookookohoomishnaanin

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Loc	nigookookohoomishnaaning

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Pl	nigookookohoomishnaany1ag

2+gookook'oo+NA+ThmPos+Pej+1+Pl+4	gigookookohoomishnaanin

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Loc	gigookookohoomishnaaning

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Pl	gigookookohoomishnaany1ag

2+gookook'oo+NA+ThmPos+Pej+2+Pl+4	gigookookohoomishwaan

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Loc	gigookookohoomishwaang

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Pl	gigookookohoomishwaaag

3+gookook'oo+NA+ThmPos+Pej+2+Pl+4	ogookookohoomishwaan

3+gookook'oo+NA+ThmPos+Pej+2+Pl+Loc	ogookookohoomishwaang

3+gookook'oo+NA+ThmPos+Pej+3+4+4	ogookookohoomishniwan

3+gookook'oo+NA+ThmPos+Pej+3+4+Loc	ogookookohoomishniing

1+gookook'oo+NA+ThmPos+Pej+Prt+4	nigookookohoomishibaniin

1+gookook'oo+NA+ThmPos+Pej+Prt+Loc	nigookookohoomishibaniing

1+gookook'oo+NA+ThmPos+Pej+Prt+Pl	nigookookohoomishibani1ag

2+gookook'oo+NA+ThmPos+Pej+Prt+4	gigookookohoomishibaniin

2+gookook'oo+NA+ThmPos+Pej+Prt+Loc	gigookookohoomishibaniing

2+gookook'oo+NA+ThmPos+Pej+Prt+Pl	gigookookohoomishibani1ag

3+gookook'oo+NA+ThmPos+Pej+Prt+4	ogookookohoomishibaniin

3+gookook'oo+NA+ThmPos+Pej+Prt+Loc	ogookookohoomishibaniing

X+gookook'oo+NA+ThmPos+Pej+Prt+4	igookookohoomishibaniin

X+gookook'oo+NA+ThmPos+Pej+Prt+Loc	igookookohoomishibaniing

X+gookook'oo+NA+ThmPos+Pej+Prt+Pl	igookookohoomishibani1ag

1+gookook'oo+NA+ThmPos+1+Pl+Prt+4	nigookookohoomnaanibaniin

1+gookook'oo+NA+ThmPos+1+Pl+Prt+Loc	nigookookohoomnaanibaniing

1+gookook'oo+NA+ThmPos+1+Pl+Prt+Pl	nigookookohoomnaanibani1ag

2+gookook'oo+NA+ThmPos+1+Pl+Prt+4	gigookookohoomnaanibaniin

2+gookook'oo+NA+ThmPos+1+Pl+Prt+Loc	gigookookohoomnaanibaniing

2+gookook'oo+NA+ThmPos+1+Pl+Prt+Pl	gigookookohoomnaanibani1ag

2+gookook'oo+NA+ThmPos+2+Pl+Prt+4	gigookookohoomwaabaniin

2+gookook'oo+NA+ThmPos+2+Pl+Prt+Loc	gigookookohoomwaabaniing

2+gookook'oo+NA+ThmPos+2+Pl+Prt+Pl	gigookookohoomwaabani1ag

3+gookook'oo+NA+ThmPos+2+Pl+Prt+4	ogookookohoomwaabaniin

3+gookook'oo+NA+ThmPos+2+Pl+Prt+Loc	ogookookohoomwaabaniing

3+gookook'oo+NA+ThmPos+3+4+Prt+4	ogookookohoomniwibaniin
3+gookook'oo+NA+ThmPos+3+4+Prt+4	ogookookohoomniibaniin

3+gookook'oo+NA+ThmPos+3+4+Prt+Loc	ogookookohoomniwibaniing
3+gookook'oo+NA+ThmPos+3+4+Prt+Loc	ogookookohoomniibaniing

1+gookook'oo+NA+Pej+1+Pl+Prt+4	nigookookohooshnaanibaniin

1+gookook'oo+NA+Pej+1+Pl+Prt+Loc	nigookookohooshnaanibaniing

1+gookook'oo+NA+Pej+1+Pl+Prt+Pl	nigookookohooshnaanibani1ag

2+gookook'oo+NA+Pej+1+Pl+Prt+4	gigookookohooshnaanibaniin

2+gookook'oo+NA+Pej+1+Pl+Prt+Loc	gigookookohooshnaanibaniing

2+gookook'oo+NA+Pej+1+Pl+Prt+Pl	gigookookohooshnaanibani1ag

2+gookook'oo+NA+Pej+2+Pl+Prt+4	gigookookohooshwaabaniin

2+gookook'oo+NA+Pej+2+Pl+Prt+Loc	gigookookohooshwaabaniing

2+gookook'oo+NA+Pej+2+Pl+Prt+Pl	gigookookohooshwaabani1ag

3+gookook'oo+NA+Pej+2+Pl+Prt+4	ogookookohooshwaabaniin

3+gookook'oo+NA+Pej+2+Pl+Prt+Loc	ogookookohooshwaabaniing

3+gookook'oo+NA+Pej+3+4+Prt+4	ogookookohooshniwibaniin
3+gookook'oo+NA+Pej+3+4+Prt+4	ogookookohooshniibaniin

3+gookook'oo+NA+Pej+3+4+Prt+Loc	ogookookohooshniwibaniing
3+gookook'oo+NA+Pej+3+4+Prt+Loc	ogookookohooshniibaniing

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt	nigookookohooenymishnaaniban
1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt	nigookookohooenymishnaaniba

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	nigookookohooenymishnaany1dig

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt	nigookookohooensmishnaaniban
1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt	nigookookohooensmishnaaniba

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	nigookookohooensmishnaany1dig

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt	gigookookohooenymishnaaniban
2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt	gigookookohooenymishnaaniba

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	gigookookohooenymishnaany1dig

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt	gigookookohooenymishwaaban
2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt	gigookookohooenymishwaaba

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Voc+Pl	gigookookohooenymishwaadig

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt	gigookookohooensmishnaaniban
2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt	gigookookohooensmishnaaniba

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	gigookookohooensmishnaany1dig

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt	gigookookohooensmishwaaban
2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt	gigookookohooensmishwaaba

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Voc+Pl	gigookookohooensmishwaadig

3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt	ogookookohooenymishniwiban
3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt	ogookookohooenymishniwiba
3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt	ogookookohooenymishniiban
3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt	ogookookohooenymishniiba

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt	ogookookohooensmishniwiban
3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt	ogookookohooensmishniwiba
3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt	ogookookohooensmishniiban
3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt	ogookookohooensmishniiba

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+4	nigookookohooenymishnaanin

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Loc	nigookookohooenymishnaaning

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Pl	nigookookohooenymishnaany1ag

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+4	nigookookohooensmishnaanin

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Loc	nigookookohooensmishnaaning

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Pl	nigookookohooensmishnaany1ag

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+4	gigookookohooenymishnaanin

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Loc	gigookookohooenymishnaaning

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Pl	gigookookohooenymishnaany1ag

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+4	gigookookohooenymishwaan

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Loc	gigookookohooenymishwaang

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Pl	gigookookohooenymishwaaag

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+4	gigookookohooensmishnaanin

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Loc	gigookookohooensmishnaaning

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Pl	gigookookohooensmishnaany1ag

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+4	gigookookohooensmishwaan

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Loc	gigookookohooensmishwaang

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Pl	gigookookohooensmishwaaag

3+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+4	ogookookohooenymishwaan

3+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Loc	ogookookohooenymishwaang

3+gookook'oo+NA+Con+ThmPos+Pej+3+4+4	ogookookohooenymishniwan

3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Loc	ogookookohooenymishniing

3+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+4	ogookookohooensmishwaan

3+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Loc	ogookookohooensmishwaang

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+4	ogookookohooensmishniwan

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Loc	ogookookohooensmishniing

1+gookook'oo+NA+Con+ThmPos+Pej+Prt+4	nigookookohooenymishibaniin

1+gookook'oo+NA+Con+ThmPos+Pej+Prt+Loc	nigookookohooenymishibaniing

1+gookook'oo+NA+Con+ThmPos+Pej+Prt+Pl	nigookookohooenymishibani1ag

1+gookook'oo+NA+Dim+ThmPos+Pej+Prt+4	nigookookohooensmishibaniin

1+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Loc	nigookookohooensmishibaniing

1+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Pl	nigookookohooensmishibani1ag

2+gookook'oo+NA+Con+ThmPos+Pej+Prt+4	gigookookohooenymishibaniin

2+gookook'oo+NA+Con+ThmPos+Pej+Prt+Loc	gigookookohooenymishibaniing

2+gookook'oo+NA+Con+ThmPos+Pej+Prt+Pl	gigookookohooenymishibani1ag

2+gookook'oo+NA+Dim+ThmPos+Pej+Prt+4	gigookookohooensmishibaniin

2+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Loc	gigookookohooensmishibaniing

2+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Pl	gigookookohooensmishibani1ag

3+gookook'oo+NA+Con+ThmPos+Pej+Prt+4	ogookookohooenymishibaniin

3+gookook'oo+NA+Con+ThmPos+Pej+Prt+Loc	ogookookohooenymishibaniing

3+gookook'oo+NA+Dim+ThmPos+Pej+Prt+4	ogookookohooensmishibaniin

3+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Loc	ogookookohooensmishibaniing

X+gookook'oo+NA+Con+ThmPos+Pej+Prt+4	igookookohooenymishibaniin

X+gookook'oo+NA+Con+ThmPos+Pej+Prt+Loc	igookookohooenymishibaniing

X+gookook'oo+NA+Con+ThmPos+Pej+Prt+Pl	igookookohooenymishibani1ag

X+gookook'oo+NA+Dim+ThmPos+Pej+Prt+4	igookookohooensmishibaniin

X+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Loc	igookookohooensmishibaniing

X+gookook'oo+NA+Dim+ThmPos+Pej+Prt+Pl	igookookohooensmishibani1ag

1+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+4	nigookookohooenymnaanibaniin

1+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+Loc	nigookookohooenymnaanibaniing

1+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+Pl	nigookookohooenymnaanibani1ag

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+4	nigookookohooensmnaanibaniin

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+Loc	nigookookohooensmnaanibaniing

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+Pl	nigookookohooensmnaanibani1ag

2+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+4	gigookookohooenymnaanibaniin

2+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+Loc	gigookookohooenymnaanibaniing

2+gookook'oo+NA+Con+ThmPos+1+Pl+Prt+Pl	gigookookohooenymnaanibani1ag

2+gookook'oo+NA+Con+ThmPos+2+Pl+Prt+4	gigookookohooenymwaabaniin

2+gookook'oo+NA+Con+ThmPos+2+Pl+Prt+Loc	gigookookohooenymwaabaniing

2+gookook'oo+NA+Con+ThmPos+2+Pl+Prt+Pl	gigookookohooenymwaabani1ag

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+4	gigookookohooensmnaanibaniin

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+Loc	gigookookohooensmnaanibaniing

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt+Pl	gigookookohooensmnaanibani1ag

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt+4	gigookookohooensmwaabaniin

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt+Loc	gigookookohooensmwaabaniing

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt+Pl	gigookookohooensmwaabani1ag

3+gookook'oo+NA+Con+ThmPos+2+Pl+Prt+4	ogookookohooenymwaabaniin

3+gookook'oo+NA+Con+ThmPos+2+Pl+Prt+Loc	ogookookohooenymwaabaniing

3+gookook'oo+NA+Con+ThmPos+3+4+Prt+4	ogookookohooenymniwibaniin
3+gookook'oo+NA+Con+ThmPos+3+4+Prt+4	ogookookohooenymniibaniin

3+gookook'oo+NA+Con+ThmPos+3+4+Prt+Loc	ogookookohooenymniwibaniing
3+gookook'oo+NA+Con+ThmPos+3+4+Prt+Loc	ogookookohooenymniibaniing

3+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt+4	ogookookohooensmwaabaniin

3+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt+Loc	ogookookohooensmwaabaniing

3+gookook'oo+NA+Dim+ThmPos+3+4+Prt+4	ogookookohooensmniwibaniin
3+gookook'oo+NA+Dim+ThmPos+3+4+Prt+4	ogookookohooensmniibaniin

3+gookook'oo+NA+Dim+ThmPos+3+4+Prt+Loc	ogookookohooensmniwibaniing
3+gookook'oo+NA+Dim+ThmPos+3+4+Prt+Loc	ogookookohooensmniibaniing

1+gookook'oo+NA+Con+Pej+1+Pl+Prt+4	nigookookohooenyishnaanibaniin

1+gookook'oo+NA+Con+Pej+1+Pl+Prt+Loc	nigookookohooenyishnaanibaniing

1+gookook'oo+NA+Con+Pej+1+Pl+Prt+Pl	nigookookohooenyishnaanibani1ag

1+gookook'oo+NA+Dim+Pej+1+Pl+Prt+4	nigookookohooensishnaanibaniin

1+gookook'oo+NA+Dim+Pej+1+Pl+Prt+Loc	nigookookohooensishnaanibaniing

1+gookook'oo+NA+Dim+Pej+1+Pl+Prt+Pl	nigookookohooensishnaanibani1ag

2+gookook'oo+NA+Con+Pej+1+Pl+Prt+4	gigookookohooenyishnaanibaniin

2+gookook'oo+NA+Con+Pej+1+Pl+Prt+Loc	gigookookohooenyishnaanibaniing

2+gookook'oo+NA+Con+Pej+1+Pl+Prt+Pl	gigookookohooenyishnaanibani1ag

2+gookook'oo+NA+Con+Pej+2+Pl+Prt+4	gigookookohooenyishwaabaniin

2+gookook'oo+NA+Con+Pej+2+Pl+Prt+Loc	gigookookohooenyishwaabaniing

2+gookook'oo+NA+Con+Pej+2+Pl+Prt+Pl	gigookookohooenyishwaabani1ag

2+gookook'oo+NA+Dim+Pej+1+Pl+Prt+4	gigookookohooensishnaanibaniin

2+gookook'oo+NA+Dim+Pej+1+Pl+Prt+Loc	gigookookohooensishnaanibaniing

2+gookook'oo+NA+Dim+Pej+1+Pl+Prt+Pl	gigookookohooensishnaanibani1ag

2+gookook'oo+NA+Dim+Pej+2+Pl+Prt+4	gigookookohooensishwaabaniin

2+gookook'oo+NA+Dim+Pej+2+Pl+Prt+Loc	gigookookohooensishwaabaniing

2+gookook'oo+NA+Dim+Pej+2+Pl+Prt+Pl	gigookookohooensishwaabani1ag

3+gookook'oo+NA+Con+Pej+2+Pl+Prt+4	ogookookohooenyishwaabaniin

3+gookook'oo+NA+Con+Pej+2+Pl+Prt+Loc	ogookookohooenyishwaabaniing

3+gookook'oo+NA+Con+Pej+3+4+Prt+4	ogookookohooenyishniwibaniin
3+gookook'oo+NA+Con+Pej+3+4+Prt+4	ogookookohooenyishniibaniin

3+gookook'oo+NA+Con+Pej+3+4+Prt+Loc	ogookookohooenyishniwibaniing
3+gookook'oo+NA+Con+Pej+3+4+Prt+Loc	ogookookohooenyishniibaniing

3+gookook'oo+NA+Dim+Pej+2+Pl+Prt+4	ogookookohooensishwaabaniin

3+gookook'oo+NA+Dim+Pej+2+Pl+Prt+Loc	ogookookohooensishwaabaniing

3+gookook'oo+NA+Dim+Pej+3+4+Prt+4	ogookookohooensishniwibaniin
3+gookook'oo+NA+Dim+Pej+3+4+Prt+4	ogookookohooensishniibaniin

3+gookook'oo+NA+Dim+Pej+3+4+Prt+Loc	ogookookohooensishniwibaniing
3+gookook'oo+NA+Dim+Pej+3+4+Prt+Loc	ogookookohooensishniibaniing

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+4	nigookookohoomishnaanibaniin

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+Loc	nigookookohoomishnaanibaniing

1+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+Pl	nigookookohoomishnaanibani1ag

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+4	gigookookohoomishnaanibaniin

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+Loc	gigookookohoomishnaanibaniing

2+gookook'oo+NA+ThmPos+Pej+1+Pl+Prt+Pl	gigookookohoomishnaanibani1ag

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt+4	gigookookohoomishwaabaniin

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt+Loc	gigookookohoomishwaabaniing

2+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt+Pl	gigookookohoomishwaabani1ag

3+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt+4	ogookookohoomishwaabaniin

3+gookook'oo+NA+ThmPos+Pej+2+Pl+Prt+Loc	ogookookohoomishwaabaniing

3+gookook'oo+NA+ThmPos+Pej+3+4+Prt+4	ogookookohoomishniwibaniin
3+gookook'oo+NA+ThmPos+Pej+3+4+Prt+4	ogookookohoomishniibaniin

3+gookook'oo+NA+ThmPos+Pej+3+4+Prt+Loc	ogookookohoomishniwibaniing
3+gookook'oo+NA+ThmPos+Pej+3+4+Prt+Loc	ogookookohoomishniibaniing

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+4	nigookookohooenymishnaanibaniin

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	nigookookohooenymishnaanibaniing

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	nigookookohooenymishnaanibani1ag

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	nigookookohooensmishnaanibaniin

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	nigookookohooensmishnaanibaniing

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	nigookookohooensmishnaanibani1ag

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+4	gigookookohooenymishnaanibaniin

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	gigookookohooenymishnaanibaniing

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	gigookookohooenymishnaanibani1ag

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt+4	gigookookohooenymishwaabaniin

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	gigookookohooenymishwaabaniing

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt+Pl	gigookookohooenymishwaabani1ag

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	gigookookohooensmishnaanibaniin

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	gigookookohooensmishnaanibaniing

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	gigookookohooensmishnaanibani1ag

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	gigookookohooensmishwaabaniin

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	gigookookohooensmishwaabaniing

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt+Pl	gigookookohooensmishwaabani1ag

3+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt+4	ogookookohooenymishwaabaniin

3+gookook'oo+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	ogookookohooenymishwaabaniing

3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt+4	ogookookohooenymishniwibaniin
3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt+4	ogookookohooenymishniibaniin

3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt+Loc	ogookookohooenymishniwibaniing
3+gookook'oo+NA+Con+ThmPos+Pej+3+4+Prt+Loc	ogookookohooenymishniibaniing

3+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	ogookookohooensmishwaabaniin

3+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	ogookookohooensmishwaabaniing

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt+4	ogookookohooensmishniwibaniin
3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt+4	ogookookohooensmishniibaniin

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	ogookookohooensmishniwibaniing
3+gookook'oo+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	ogookookohooensmishniibaniing

