mtigwaap+NA	mitigwaabi1
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt+4	omitigwaabi1mishniwibaniin
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt+4	omitigwaabi1mishniibaniin

3+mtigwaap+NA+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1mishniwibaniing
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1mishniibaniing

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+4	nimitigwaabi1enymishnaanibaniin

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	nimitigwaabi1enymishnaanibaniing

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	nimitigwaabi1enymishnaanibani1ag

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	nimitigwaabi1ensmishnaanibaniin

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	nimitigwaabi1ensmishnaanibaniing

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	nimitigwaabi1ensmishnaanibani1ag

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+4	gimitigwaabi1enymishnaanibaniin

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	gimitigwaabi1enymishnaanibaniing

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	gimitigwaabi1enymishnaanibani1ag

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt+4	gimitigwaabi1enymishwaabaniin

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	gimitigwaabi1enymishwaabaniing

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt+Pl	gimitigwaabi1enymishwaabani1ag

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	gimitigwaabi1ensmishnaanibaniin

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	gimitigwaabi1ensmishnaanibaniing

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	gimitigwaabi1ensmishnaanibani1ag

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	gimitigwaabi1ensmishwaabaniin

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	gimitigwaabi1ensmishwaabaniing

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt+Pl	gimitigwaabi1ensmishwaabani1ag

3+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt+4	omitigwaabi1enymishwaabaniin

3+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	omitigwaabi1enymishwaabaniing

3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt+4	omitigwaabi1enymishniwibaniin
3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt+4	omitigwaabi1enymishniibaniin

3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1enymishniwibaniing
3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1enymishniibaniing

3+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	omitigwaabi1ensmishwaabaniin

3+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	omitigwaabi1ensmishwaabaniing

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt+4	omitigwaabi1ensmishniwibaniin
3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt+4	omitigwaabi1ensmishniibaniin

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1ensmishniwibaniing
3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	omitigwaabi1ensmishniibaniing

