mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Dim+1+Pl+Voc+Pl	gimitigwaabi1ensnaany1dig

2+mtigwaap+NA+Dim+2+Pl+Prt	gimitigwaabi1enswaaban
2+mtigwaap+NA+Dim+2+Pl+Prt	gimitigwaabi1enswaaba

2+mtigwaap+NA+Dim+2+Pl+Voc+Pl	gimitigwaabi1enswaadig

3+mtigwaap+NA+Con+3+4+Prt	omitigwaabi1enyniwiban
3+mtigwaap+NA+Con+3+4+Prt	omitigwaabi1enyniwiba
3+mtigwaap+NA+Con+3+4+Prt	omitigwaabi1enyniiban
3+mtigwaap+NA+Con+3+4+Prt	omitigwaabi1enyniiba

3+mtigwaap+NA+Dim+3+4+Prt	omitigwaabi1ensniwiban
3+mtigwaap+NA+Dim+3+4+Prt	omitigwaabi1ensniwiba
3+mtigwaap+NA+Dim+3+4+Prt	omitigwaabi1ensniiban
3+mtigwaap+NA+Dim+3+4+Prt	omitigwaabi1ensniiba

1+mtigwaap+NA+Con+1+Pl+4	nimitigwaabi1enynaanin

1+mtigwaap+NA+Con+1+Pl+Loc	nimitigwaabi1enynaaning

1+mtigwaap+NA+Con+1+Pl+Pl	nimitigwaabi1enynaany1ag

1+mtigwaap+NA+Dim+1+Pl+4	nimitigwaabi1ensnaanin

1+mtigwaap+NA+Dim+1+Pl+Loc	nimitigwaabi1ensnaaning

1+mtigwaap+NA+Dim+1+Pl+Pl	nimitigwaabi1ensnaany1ag

