mkomii+NI	makomii
3+mkomii+NI+Dim+ThmPos+4	omakomiiensman

3+mkomii+NI+Dim+ThmPos+Loc	omakomiiensming

3+mkomii+NI+Dim+ThmPos+Pl	omakomiiensman

X+mkomii+NI+Con+ThmPos+4	imakomiienyman

X+mkomii+NI+Con+ThmPos+Loc	imakomiienyming

X+mkomii+NI+Con+ThmPos+Pl	imakomiienyman

X+mkomii+NI+Dim+ThmPos+4	imakomiiensman

X+mkomii+NI+Dim+ThmPos+Loc	imakomiiensming

X+mkomii+NI+Dim+ThmPos+Pl	imakomiiensman

1+mkomii+NI+Con+Pej+1+Pl	nimakomiienyishnaan
1+mkomii+NI+Con+Pej+1+Pl	nimakomiienyishnaa

1+mkomii+NI+Dim+Pej+1+Pl	nimakomiiensishnaan
1+mkomii+NI+Dim+Pej+1+Pl	nimakomiiensishnaa

2+mkomii+NI+Con+Pej+1+Pl	gimakomiienyishnaan
2+mkomii+NI+Con+Pej+1+Pl	gimakomiienyishnaa

2+mkomii+NI+Con+Pej+2+Pl	gimakomiienyishwaa

2+mkomii+NI+Dim+Pej+1+Pl	gimakomiiensishnaan
2+mkomii+NI+Dim+Pej+1+Pl	gimakomiiensishnaa

2+mkomii+NI+Dim+Pej+2+Pl	gimakomiiensishwaa

3+mkomii+NI+Con+Pej+2+Pl	omakomiienyishwaa

3+mkomii+NI+Con+Pej+3+4	omakomiienyishniw

3+mkomii+NI+Dim+Pej+2+Pl	omakomiiensishwaa

3+mkomii+NI+Dim+Pej+3+4	omakomiiensishniw

1+mkomii+NI+Con+Pej+Prt	nimakomiienyishiban
1+mkomii+NI+Con+Pej+Prt	nimakomiienyishiba

1+mkomii+NI+Con+Pej+Voc+Pl	nimakomiienyishdig

1+mkomii+NI+Dim+Pej+Prt	nimakomiiensishiban
1+mkomii+NI+Dim+Pej+Prt	nimakomiiensishiba

1+mkomii+NI+Dim+Pej+Voc+Pl	nimakomiiensishdig

2+mkomii+NI+Con+Pej+Prt	gimakomiienyishiban
2+mkomii+NI+Con+Pej+Prt	gimakomiienyishiba

2+mkomii+NI+Con+Pej+Voc+Pl	gimakomiienyishdig

2+mkomii+NI+Dim+Pej+Prt	gimakomiiensishiban
2+mkomii+NI+Dim+Pej+Prt	gimakomiiensishiba

2+mkomii+NI+Dim+Pej+Voc+Pl	gimakomiiensishdig

3+mkomii+NI+Con+Pej+Prt	omakomiienyishiban
3+mkomii+NI+Con+Pej+Prt	omakomiienyishiba

3+mkomii+NI+Con+Pej+Voc+Pl	omakomiienyishdig

3+mkomii+NI+Dim+Pej+Prt	omakomiiensishiban
3+mkomii+NI+Dim+Pej+Prt	omakomiiensishiba

3+mkomii+NI+Dim+Pej+Voc+Pl	omakomiiensishdig

X+mkomii+NI+Con+Pej+Prt	imakomiienyishiban
X+mkomii+NI+Con+Pej+Prt	imakomiienyishiba

X+mkomii+NI+Con+Pej+Voc+Pl	imakomiienyishdig

X+mkomii+NI+Dim+Pej+Prt	imakomiiensishiban
X+mkomii+NI+Dim+Pej+Prt	imakomiiensishiba

X+mkomii+NI+Dim+Pej+Voc+Pl	imakomiiensishdig

1+mkomii+NI+Con+Pej+4	nimakomiienyishan

1+mkomii+NI+Con+Pej+Loc	nimakomiienyishing

1+mkomii+NI+Con+Pej+Pl	nimakomiienyishan

1+mkomii+NI+Dim+Pej+4	nimakomiiensishan

1+mkomii+NI+Dim+Pej+Loc	nimakomiiensishing

1+mkomii+NI+Dim+Pej+Pl	nimakomiiensishan

2+mkomii+NI+Con+Pej+4	gimakomiienyishan

2+mkomii+NI+Con+Pej+Loc	gimakomiienyishing

2+mkomii+NI+Con+Pej+Pl	gimakomiienyishan

2+mkomii+NI+Dim+Pej+4	gimakomiiensishan

2+mkomii+NI+Dim+Pej+Loc	gimakomiiensishing

2+mkomii+NI+Dim+Pej+Pl	gimakomiiensishan

3+mkomii+NI+Con+Pej+4	omakomiienyishan

3+mkomii+NI+Con+Pej+Loc	omakomiienyishing

3+mkomii+NI+Con+Pej+Pl	omakomiienyishan

3+mkomii+NI+Dim+Pej+4	omakomiiensishan

3+mkomii+NI+Dim+Pej+Loc	omakomiiensishing

3+mkomii+NI+Dim+Pej+Pl	omakomiiensishan

X+mkomii+NI+Con+Pej+4	imakomiienyishan

X+mkomii+NI+Con+Pej+Loc	imakomiienyishing

X+mkomii+NI+Con+Pej+Pl	imakomiienyishan

X+mkomii+NI+Dim+Pej+4	imakomiiensishan

X+mkomii+NI+Dim+Pej+Loc	imakomiiensishing

X+mkomii+NI+Dim+Pej+Pl	imakomiiensishan

1+mkomii+NI+Con+1+Pl+Prt	nimakomiienynaaniban
1+mkomii+NI+Con+1+Pl+Prt	nimakomiienynaaniba

1+mkomii+NI+Con+1+Pl+Voc+Pl	nimakomiienynaany1dig

1+mkomii+NI+Dim+1+Pl+Prt	nimakomiiensnaaniban
1+mkomii+NI+Dim+1+Pl+Prt	nimakomiiensnaaniba

1+mkomii+NI+Dim+1+Pl+Voc+Pl	nimakomiiensnaany1dig

2+mkomii+NI+Con+1+Pl+Prt	gimakomiienynaaniban
2+mkomii+NI+Con+1+Pl+Prt	gimakomiienynaaniba

