mkizin+NI	makizin
1+mkizin+NI+Con+ThmPos+1+Pl	nimakizinenymnaa

1+mkizin+NI+Dim+ThmPos+1+Pl	nimakizinensmnaan
1+mkizin+NI+Dim+ThmPos+1+Pl	nimakizinensmnaa

2+mkizin+NI+Con+ThmPos+1+Pl	gimakizinenymnaan
2+mkizin+NI+Con+ThmPos+1+Pl	gimakizinenymnaa

2+mkizin+NI+Con+ThmPos+2+Pl	gimakizinenymwaa

2+mkizin+NI+Dim+ThmPos+1+Pl	gimakizinensmnaan
2+mkizin+NI+Dim+ThmPos+1+Pl	gimakizinensmnaa

2+mkizin+NI+Dim+ThmPos+2+Pl	gimakizinensmwaa

3+mkizin+NI+Con+ThmPos+2+Pl	omakizinenymwaa

3+mkizin+NI+Con+ThmPos+3+4	omakizinenymniw

3+mkizin+NI+Dim+ThmPos+2+Pl	omakizinensmwaa

3+mkizin+NI+Dim+ThmPos+3+4	omakizinensmniw

1+mkizin+NI+Con+ThmPos+Prt	nimakizinenymiban
1+mkizin+NI+Con+ThmPos+Prt	nimakizinenymiba

1+mkizin+NI+Con+ThmPos+Voc+Pl	nimakizinenymdig

1+mkizin+NI+Dim+ThmPos+Prt	nimakizinensmiban
1+mkizin+NI+Dim+ThmPos+Prt	nimakizinensmiba

1+mkizin+NI+Dim+ThmPos+Voc+Pl	nimakizinensmdig

2+mkizin+NI+Con+ThmPos+Prt	gimakizinenymiban
2+mkizin+NI+Con+ThmPos+Prt	gimakizinenymiba

2+mkizin+NI+Con+ThmPos+Voc+Pl	gimakizinenymdig

2+mkizin+NI+Dim+ThmPos+Prt	gimakizinensmiban
2+mkizin+NI+Dim+ThmPos+Prt	gimakizinensmiba

2+mkizin+NI+Dim+ThmPos+Voc+Pl	gimakizinensmdig

3+mkizin+NI+Con+ThmPos+Prt	omakizinenymiban
3+mkizin+NI+Con+ThmPos+Prt	omakizinenymiba

3+mkizin+NI+Con+ThmPos+Voc+Pl	omakizinenymdig

3+mkizin+NI+Dim+ThmPos+Prt	omakizinensmiban
3+mkizin+NI+Dim+ThmPos+Prt	omakizinensmiba

3+mkizin+NI+Dim+ThmPos+Voc+Pl	omakizinensmdig

X+mkizin+NI+Con+ThmPos+Prt	imakizinenymiban
X+mkizin+NI+Con+ThmPos+Prt	imakizinenymiba

X+mkizin+NI+Con+ThmPos+Voc+Pl	imakizinenymdig

X+mkizin+NI+Dim+ThmPos+Prt	imakizinensmiban
X+mkizin+NI+Dim+ThmPos+Prt	imakizinensmiba

X+mkizin+NI+Dim+ThmPos+Voc+Pl	imakizinensmdig

1+mkizin+NI+Con+ThmPos+4	nimakizinenyman

1+mkizin+NI+Con+ThmPos+Loc	nimakizinenyming

1+mkizin+NI+Con+ThmPos+Pl	nimakizinenyman

1+mkizin+NI+Dim+ThmPos+4	nimakizinensman

1+mkizin+NI+Dim+ThmPos+Loc	nimakizinensming

1+mkizin+NI+Dim+ThmPos+Pl	nimakizinensman

2+mkizin+NI+Con+ThmPos+4	gimakizinenyman

2+mkizin+NI+Con+ThmPos+Loc	gimakizinenyming

2+mkizin+NI+Con+ThmPos+Pl	gimakizinenyman

2+mkizin+NI+Dim+ThmPos+4	gimakizinensman

2+mkizin+NI+Dim+ThmPos+Loc	gimakizinensming

2+mkizin+NI+Dim+ThmPos+Pl	gimakizinensman

3+mkizin+NI+Con+ThmPos+4	omakizinenyman

3+mkizin+NI+Con+ThmPos+Loc	omakizinenyming

3+mkizin+NI+Con+ThmPos+Pl	omakizinenyman

3+mkizin+NI+Dim+ThmPos+4	omakizinensman

3+mkizin+NI+Dim+ThmPos+Loc	omakizinensming

3+mkizin+NI+Dim+ThmPos+Pl	omakizinensman

X+mkizin+NI+Con+ThmPos+4	imakizinenyman

X+mkizin+NI+Con+ThmPos+Loc	imakizinenyming

X+mkizin+NI+Con+ThmPos+Pl	imakizinenyman

X+mkizin+NI+Dim+ThmPos+4	imakizinensman

X+mkizin+NI+Dim+ThmPos+Loc	imakizinensming

X+mkizin+NI+Dim+ThmPos+Pl	imakizinensman

1+mkizin+NI+Con+Pej+1+Pl	nimakizinenyishnaan
1+mkizin+NI+Con+Pej+1+Pl	nimakizinenyishnaa

1+mkizin+NI+Dim+Pej+1+Pl	nimakizinensishnaan
1+mkizin+NI+Dim+Pej+1+Pl	nimakizinensishnaa

2+mkizin+NI+Con+Pej+1+Pl	gimakizinenyishnaan
2+mkizin+NI+Con+Pej+1+Pl	gimakizinenyishnaa

2+mkizin+NI+Con+Pej+2+Pl	gimakizinenyishwaa

2+mkizin+NI+Dim+Pej+1+Pl	gimakizinensishnaan
2+mkizin+NI+Dim+Pej+1+Pl	gimakizinensishnaa

2+mkizin+NI+Dim+Pej+2+Pl	gimakizinensishwaa

3+mkizin+NI+Con+Pej+2+Pl	omakizinenyishwaa

3+mkizin+NI+Con+Pej+3+4	omakizinenyishniw

3+mkizin+NI+Dim+Pej+2+Pl	omakizinensishwaa

3+mkizin+NI+Dim+Pej+3+4	omakizinensishniw

1+mkizin+NI+Con+Pej+Prt	nimakizinenyishiban
1+mkizin+NI+Con+Pej+Prt	nimakizinenyishiba

