Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Prt,Neg,<<waabam>>igosiwegiban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Prt,Pos,<<waabam>>igoyegiban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Prt,Neg,<<waabam>>igosiwamban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Prt,Pos,<<waabam>>igoyamban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Prt,Neg,<<waabam>>igosigwaaban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Prt,Pos,<<waabam>>igowaapan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Prt,Neg,<<waabam>>igosinigoban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Prt,Pos,<<waabam>>igonipan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Prt,Neg,<<waabam>>igosigoban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Prt,Pos,<<waabam>>igopan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Prt,Neg,<<waabam>>igosiwaangiban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Prt,Pos,<<waabam>>igoyaangiban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Prt,Neg,<<waabam>>igosiwangiban,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Prt,Pos,<<waabam>>igoyangiban,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Prt,Neg,<<waabam>>isinowagoogoban,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Prt,Pos,<<waabam>>inagoogoban,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Prt,Neg,<<waabam>>isinowaambaan,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Prt,Pos,<<waabam>>inaambaan,
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Prt,Neg,<<waabam>>aasiwagwaaban,
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Prt,Pos,<<waabam>>agwaaban,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Prt,Neg,<<waabam>>imaasiwagiban,
