Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Prt,Neg,wanitoosigoban,<<wanit>>oosigoban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Prt,Pos,wanitoopan,<<wanit>>oopan,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,Excl,0Sg/0Pl,Neu,Neg,ayaanziwaang,<<ayaa>>nziwaang,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,Excl,0Sg/0Pl,Neu,Pos,ayaamang,<<ayaa>>mang,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Dub,Neg,miijisiiwaangen,<<miiji>>siiwaangen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Dub,Pos,miijiwaangen,<<miiji>>waangen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Dub+Prt,Neg,miijisiiwaangibanen,<<miiji>>siiwaangibanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Dub+Prt,Pos,miijiwaangibanen,<<miiji>>waangibanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Neu,Neg,miijisiwaang,<<miiji>>siwaang,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Neu,Pos,miijiyaang,<<miiji>>yaang,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Prt,Neg,miijisiwaangiban,<<miiji>>siwaangiban,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,Excl,0Sg/0Pl,Prt,Pos,miijiyaangiban,<<miiji>>yaangiban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,Excl,0Sg/0Pl,Dub,Neg,waabandanziiwaangen,<<waaband>>anziiwaangen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,Excl,0Sg/0Pl,Dub,Pos,waabandamowaangen,<<waaband>>amowaangen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,Excl,0Sg/0Pl,Dub+Prt,Neg,waabandanziiwaangibanen,<<waaband>>anziiwaangibanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,Excl,0Sg/0Pl,Dub+Prt,Pos,waabandamowaangibanen,<<waaband>>amowaangibanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,Excl,0Sg/0Pl,Neu,Neg,waabandanziwaang,<<waaband>>anziwaang,JDN-PC,,,
